title,author,category,publish_year,resource_id,cover_url,description,publisher
What on Earth Can It Be?,"McGough, Roger.",poetry,2003.0,OL927265W,//covers.openlibrary.org/b/olid/OL9732470M-M.jpg,,Puffin Books
Jacob French,Daniel C. Jones,music,2014.0,OL28298668W,/images/icons/avatar_book-sm.png,,Taylor & Francis Group
"Literatura guatemalteca: texto arreglado conforme al programa oficial de dicha asignatura, para el cuarto año de enseñanza secundaria.",David Vela,literature,1900.0,OL3976279W,/images/icons/avatar_book-sm.png,,Tip. Nacional
Urban Dictionary,urbandictionary.com,humor,2005.0,OL8436504W,//covers.openlibrary.org/b/olid/OL34461623M-M.jpg,,Andrews McMeel Publishing
Live the FINER Life,Patrick Keogh,finance,2023.0,OL35879361W,/images/icons/avatar_book-sm.png,,Stonebrook Publishing
Simon's Cat in Kitten Chaos,Simon Tofield,cats,2013.0,OL20358758W,//covers.openlibrary.org/b/olid/OL27570489M-M.jpg,,Akashic Books
Working together to reduce harmful drinking,Marcus Grant,self-help,2009.0,OL17876152W,//covers.openlibrary.org/b/olid/OL23213122M-M.jpg,,"Brunner-Routledge,              Routledge"
Haunting of Horse Island,Carolyn Keene,mystery_and_detective_stories,2013.0,OL25132505W,/images/icons/avatar_book-sm.png,,"Simon & Schuster, Limited"
Collins music encyclopedia,J. A. Westrup,music,1959.0,OL1377890W,//covers.openlibrary.org/b/olid/OL7451101M-M.jpg,,Norton*(ww Norton Co
An introduction to psychology,Gardner Murphy,psychology,1951.0,OL4802712W,//covers.openlibrary.org/b/olid/OL6092911M-M.jpg,,Harper
Reflections of Amma: Devotees in a Global Embrace,Amanda J. Lucia,religion,2014.0,OL19340539W,//covers.openlibrary.org/b/olid/OL26797959M-M.jpg,,University of California Press
Stories of Dogs,Russell Punter,dogs,2008.0,OL8377796W,//covers.openlibrary.org/b/olid/OL11201588M-M.jpg,,Usborne Books
Rebirth in Early Buddhism and Current Research,Bhikkhu Analayo,religion,2018.0,OL25400683W,/images/icons/avatar_book-sm.png,,Wisdom Publications
Walt Whitman in Context,Joanna Levin,poetry,2018.0,OL20591761W,//covers.openlibrary.org/b/olid/OL27840561M-M.jpg,,Cambridge University Press
The Winchester troper,Catholic Church,music,1000.0,OL350586W,//covers.openlibrary.org/b/olid/OL24774423M-M.jpg,,[s.n.]
Acuerdo posible,"Chernick, Marc W. (Autor) Esguerra, Juan...",management,2008.0,OL13766135W,//covers.openlibrary.org/b/olid/OL23173624M-M.jpg,,Ediciones Aurora
Selections from the Greek Lyric Poets ..,Henry M. Tyler,poetry,1879.0,OL234701W,//covers.openlibrary.org/b/olid/OL7033428M-M.jpg,,Ginn
The guest dog,Alberta Eiseman,dogs,1968.0,OL5196832W,/images/icons/avatar_book-sm.png,The dog that Megan found frozen in the ice keeps coming back to see her so often that the owner finally grants the animal visiting rights.   Read more Read less,L. W. Singer Co.
Fact or fib? 2,Kathy Furgang,juvenile_literature,2014.0,OL17887498W,//covers.openlibrary.org/b/olid/OL26466057M-M.jpg,Provides sets of three alleged facts about science and encourages the reader to determine which are true and which are false.   Read more Read less,
Earth's Daughters: stories of women in classical mythology,Betty Bonham Lies,religion,1999.0,OL1743263W,//covers.openlibrary.org/b/olid/OL385233M-M.jpg,,Fulcrum Resources
Bibliografía del cuento mexicano,Luis Leal,short_stories,1958.0,OL1815565W,/images/icons/avatar_book-sm.png,,"Emory University,              Ediciones de Andrea"
Liebesgedichte,Erich Fried,poetry,1984.0,OL4997418W,//covers.openlibrary.org/b/olid/OL8937367M-M.jpg,,Verlag Klaus Wagenbach
Friedrich Hebbel,Ludwig Lewin,psychology,1913.0,OL6653262W,/images/icons/avatar_book-sm.png,,Gerstenberg
Solid-State NMR Spectroscopy,Melinda J. Duer,chemistry,2001.0,OL8224875W,//covers.openlibrary.org/b/olid/OL7611502M-M.jpg,,Blackwell Publishing Limited
Tracking ghosts,Emily Raij,juvenile_literature,2016.0,OL22313360W,/images/icons/avatar_book-sm.png,"""Describes tools and methods used by ghost hunters, including examples of ghost hunters' paranormal experiences""--   Read more Read less","Capstone Press, a Capstone Imprint"
Programming social applications,Jonathan LeBlanc,programming,2011.0,OL16962711W,//covers.openlibrary.org/b/olid/OL25555832M-M.jpg,,O'Reilly Media
"Operations Research: Planning, Operating and Information Systems.",Siemens,management,1973.0,OL18819577W,//covers.openlibrary.org/b/olid/OL26705825M-M.jpg,,Free Press
Effi Briest,Theodor Fontane,literature,1894.0,OL857189W,//covers.openlibrary.org/b/olid/OL5589557M-M.jpg,,Penguin Books
Blind spot,Teju Cole,photography,2017.0,OL19714204W,/images/icons/avatar_book-sm.png,"When it comes to Teju Cole, the unexpected is not unfamiliar: he's an acclaimed novelist, an influential essayist, and an internationally exhibited photographer. In Blind Spot, readers follow Coles inimitable artistic vision into the visual realm as he continues to refine the voice, eye, and intellectual obsessions that earned him such acclaim for Open City. Here, journey through more than 150 of Coles full-color, original photos, each accompanied by his lyrical and evocative prose, forming a multimedia diary of years of near-constant travel: from a park in Berlin to a mountain range in Switzerland, a church exterior in Lagos to a parking lot in Brooklyn; landscapes, beautiful or quotidian, that inspire Coles memories, fantasies, and introspections. Ships in Capri remind him of the work of writers from Homer to Edna O'Brien; a hotel room in Wannsee brings back a disturbing dream about a friends death; a home in Tivoli evokes a transformative period of semi-blindness, after which ""the photography changed. . . . The looking changed."" As exquisitely wrought as the work of Anne Carson or Chris Marker, Blind Spot is a testament to the art of seeing by one of the most powerful and original voices in contemporary literature.   Read more Read less",
Breakthrough!,Janet Bray Attwood,psychology,2013.0,OL19704523W,//covers.openlibrary.org/b/olid/OL26917701M-M.jpg,,
The 2006-2011 World Outlook for Binoculars and Astronomical Instruments,,business__economics,2005.0,OL10366039M,//covers.openlibrary.org/b/olid/OL10366039M-M.jpg,,"Icon Group International, Inc."
Bare Bear's New Clothes,Peter S. Seymour,bears,1987.0,OL32441117W,/images/icons/avatar_book-sm.png,,Price Stern Sloan
Little Instruction Book for Dogs,Kate Freeman,humor,2014.0,OL21630477W,/images/icons/avatar_book-sm.png,,Summersdale Publishers
Public hearing before Assembly Task Force on Courtesy Busing,New Jersey. Legislature. General Assembl...,finance,1996.0,OL2830953W,/images/icons/avatar_book-sm.png,,The Unit
Injustice Gang and the Deadly Nightshade,Derek Fridolfs,science_fiction,2017.0,OL28322117W,/images/icons/avatar_book-sm.png,,Raintree Publishers
The global economics of forestry,"Hyde, William F.",management,2012.0,OL16263107W,/images/icons/avatar_book-sm.png,,RFF Press
Facing choices together,"Martin, Paul",finance,1994.0,OL3103901W,/images/icons/avatar_book-sm.png,,Dept. of Finance
Master Musicians of India,Regula Burckhardt Qureshi,music,2016.0,OL25202409W,/images/icons/avatar_book-sm.png,,Taylor & Francis Group
Purgatorio,Dante Alighieri,poetry,1982.0,OL8034377W,//covers.openlibrary.org/b/olid/OL7426459M-M.jpg,,Knopf
Nightfall,Isaac Asimov,fantasy,1969.0,OL46374W,//covers.openlibrary.org/b/olid/OL47807144M-M.jpg,"These two renowned writers have invented a world not unlike our own--a world on the edge of chaos, torn between the madness of religious fanaticism and the stubborn denial of scientists. Only a handful of people on the planet Lagash are prepared to face the truth--that their six suns are setting all at once for the first time in 2,000 years, signaling the end of civilization!   Read more Read less",Doubleday
The Way of the Storyteller,Ruth Sawyer,juvenile_literature,1942.0,OL2254744W,//covers.openlibrary.org/b/olid/OL24384839M-M.jpg,,The Viking Press
Atomic physics 14,International Conference on Atomic Physi...,physics,1995.0,OL12315711W,//covers.openlibrary.org/b/olid/OL18073471M-M.jpg,"The 14th International Conference on Atomic Physics, ICAP XIV, was held in Boulder, Colorado, July 31 through August 5, 1994, and reflects recent progress and current trends in atomic physics. This book contains papers by the invited plenary speakers at the conference.   Read more Read less",American Institute of Physics
Psychological management of stroke,Nadina B. Lincoln,psychology,2011.0,OL16698694W,//covers.openlibrary.org/b/olid/OL25370949M-M.jpg,,John Wiley & Sons
The human organization,Rensis Likert,management,1967.0,OL5273384W,//covers.openlibrary.org/b/olid/OL5539484M-M.jpg,,McGraw-Hill
Differential equations on singular manifolds,Bert-Wolfgang Schulze,mathematics,1998.0,OL774481W,//covers.openlibrary.org/b/olid/OL9052863M-M.jpg,,John Wiley & Sons
Srboy Hōrn Meroy Grigori Narekay vanitsʻ vanakani Matean oghbergutʻean,"Grigor Narekatsʻi, Saint",poetry,1868.0,OL23387393W,/images/icons/avatar_book-sm.png,,I Tparani Aṛakʻelakan Atʻoṛoy S. Hakovbeantsʻ
World photography,Ernst Haas,photography,1981.0,OL16061593W,/images/icons/avatar_book-sm.png,,Ziff-Davis
Westerhus,Nils Gustaf Gejvall,anthropology,1960.0,OL12108055W,/images/icons/avatar_book-sm.png,,H. Ohlssons Boktr.
Dinosaurs to the rescue!,Laurene Krasny Brown,juvenile_literature,1992.0,OL2647308W,//covers.openlibrary.org/b/olid/OL1547766M-M.jpg,Text and illustrations of dinosaur characters introduce the earth's major environmental problems and suggest ways children can help.   Read more Read less,Joy Street Books
Bumper sticker liberalism,Mark Goldblatt,humor,2012.0,OL16627140W,/images/icons/avatar_book-sm.png,,Broadside Books
American moral tales,Dorothea Lynde Dix,juvenile_literature,1832.0,OL16584012W,//covers.openlibrary.org/b/olid/OL25268985M-M.jpg,,L.C. Bowles and B.H. Greene
Christmas Carols,Masa Takahashi,music,2010.0,OL26532342W,/images/icons/avatar_book-sm.png,,"Leonard Corporation, Hal"
Candela Isler Müther,Matthias Beckh,design,2020.0,OL25760361W,/images/icons/avatar_book-sm.png,,"de Gruyter GmbH, Walter"
Opere scelte,Luigi Fantappiè,mathematics,1973.0,OL5575032W,/images/icons/avatar_book-sm.png,,Unione matematic italiana
Slack Key Guitar,Daniel Ho,music,,OL6123431W,/images/icons/avatar_book-sm.png,,
Ryūkyū kodai shakai no kenkyū,Kenzaburō Torigoe,religion,1944.0,OL16559711W,/images/icons/avatar_book-sm.png,,Mikasa Shobō
Petey and Pru and the Hullabaloo,Ammi-Joan Paquette,cats,2013.0,OL21254543W,//covers.openlibrary.org/b/olid/OL28775884M-M.jpg,,Houghton Mifflin Harcourt Trade & Reference Publishers
Rapunzel [Paperback] Bethan Woollvin,Bethan Woollvin,picture_books,2018.0,OL21120622W,//covers.openlibrary.org/b/olid/OL28589410M-M.jpg,,PAN MACMILLAN
The Dog West Highland White Terrier 2006 Calendar (Artlist Collection),,dogs,2005.0,OL12336585M,//covers.openlibrary.org/b/olid/OL12336585M-M.jpg,,Artlist International U.S.A.
O prot︠s︡ente,V. I︠U︡ Katasonov,finance,2011.0,OL15959178W,/images/icons/avatar_book-sm.png,,NII shkolʹnykh tekhnologiĭ
Body math,Penny Dowdy,juvenile_literature,2009.0,OL11817963W,//covers.openlibrary.org/b/olid/OL16505201M-M.jpg,,Marshall Cavendish Benchmark
Atoms in Strong Fields,C.A. Nicolaides,physics,2013.0,OL21712225W,//covers.openlibrary.org/b/olid/OL29546515M-M.jpg,,Springer
"Zero, zilch, nada",Wendy K. Ulmer,juvenile_literature,2010.0,OL15530883W,//covers.openlibrary.org/b/olid/OL24488107M-M.jpg,,Sleeping Bear Press
"Optimism, a real remedy",Horace Fletcher,nutrition,1908.0,OL1799620W,//covers.openlibrary.org/b/olid/OL6992856M-M.jpg,,A. C. McClurg & co.
What We Do with the Wreckage,Kirsten Sundberg Lunstrum,short_stories,2018.0,OL21628186W,/images/icons/avatar_book-sm.png,,University of Georgia Press
Product Management,Asomi Ithia,management,2019.0,OL21649560W,//covers.openlibrary.org/b/olid/OL29464407M-M.jpg,,Troubador Publishing Limited
Aphrahat the Persian Sage and the Temple of God,Stephanie K. Skoyles Jarkins,anthropology,2008.0,OL12037058W,/images/icons/avatar_book-sm.png,,Gorgias Press
Poison from the Pew--Power from the Throne,Mark Seals,religion,2023.0,OL34497363W,/images/icons/avatar_book-sm.png,,Soncoast Publishing
The religious aspect of philosophy,Josiah Royce,religion,1897.0,OL16893511W,//covers.openlibrary.org/b/olid/OL25514427M-M.jpg,,"Houghton, Mifflin"
What is a living thing?,Bobbie Kalman,biology,1999.0,OL115204W,//covers.openlibrary.org/b/olid/OL370212M-M.jpg,"Introduces the different qualities and aspects of living things, including people, other animals, and plants, and covering such topics as breathing, feeding, energy, growth, locomotion, and reproduction.   Read more Read less",Crabtree Pub.
We Recycle,Torrey Maloof,juvenile_literature,2014.0,OL21268460W,/images/icons/avatar_book-sm.png,,"Teacher Created Materials, Incorporated"
Poems,Ewa Lipska,poetry,2009.0,OL790892W,/images/icons/avatar_book-sm.png,,Northwestern University Press
A is for awesome,Dallas Clayton,juvenile_literature,2014.0,OL19977089W,//covers.openlibrary.org/b/olid/OL27157247M-M.jpg,"""Alliterative and rhyming words of wisdom surrounded by all new art fill this energetic alphabet book by Dallas Clayton. Bursting with color and life, each spread offers a rhythmic phrase and an abundance of artwork illustrating the featured letter. The message of dreaming big and living life to its fullest permeates every page, inviting readers to ""learn some new letters that you can use to make magical words and share big ideas"""" --   Read more Read less",
Integrating ego psychology and object relations theory,George D. Goldman,psychology,1979.0,OL19619493W,//covers.openlibrary.org/b/olid/OL4435248M-M.jpg,,"Kendall/Hunt Pub. Co.,              Kendall/Hunt Pub. Co"
Environmental discourse and practice,Lisa Benton-Short,management,2000.0,OL19111545W,//covers.openlibrary.org/b/olid/OL17936677M-M.jpg,,Blackwell
Who taught frogs to hop?,Robert D. Ingram,juvenile_literature,1990.0,OL13325033W,/images/icons/avatar_book-sm.png,,Scripture Union
The story of the Arizona Diamondbacks,Sara Gilbert,juvenile_literature,2012.0,OL16295903W,//covers.openlibrary.org/b/olid/OL25106732M-M.jpg,"""The history of the Arizona Diamondbacks professional baseball team from its inaugural 1998 season to today, spotlighting the team's greatest players and most memorable moments""--Provided by publisher.   Read more Read less",Creative Education
A Little History of Music,Annette Hullah,music,2001.0,OL10540461M,/images/icons/avatar_book-sm.png,,Library Reprints
Theory in Social and Cultural Anthropology,R. Jon McGee,anthropology,2013.0,OL20856525W,//covers.openlibrary.org/b/olid/OL28239230M-M.jpg,,"SAGE Publications, Inc,              SAGE Publications, Inc."
At sea,"Dixon, Malcolm.",juvenile_literature,1984.0,OL1809644W,//covers.openlibrary.org/b/olid/OL3193495M-M.jpg,Introduces engineering principles used in designing ships and marine structures such as oil rigs and lighthouses. Includes directions for associated models and experiments.   Read more Read less,Bookwright Press
My book about Bartimaeus,"Good, Marvin Mrs",juvenile_literature,1978.0,OL22394751W,/images/icons/avatar_book-sm.png,,"Rod and Staff Publishers, Inc."
Aircraft and missile design and maintenance handbook,Charles A. Overbey,design,1960.0,OL7334286W,/images/icons/avatar_book-sm.png,,Macmillan
